Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
tween 80	0.096	0.3466	0.0508	0.0372	0.242	0.2983	0.3997	0.2287	0.3463	0.345	0.0092	0.1614	0.2528	0.1652	0.1892	0.1426	0.3256	0.0717	0.0276
fumaric acid	0.083	0.3433	0.1026	0.215	0.0828	-0.0023	0.2632	0.1139	0.3335	0.2825	0.0438	0.1978	0.2339	0.0703	0.1978	0.1729	0.3662	0.1603	0.0378
L-alanine	0.0253	0.3918	0.1947	0.4459	0.2178	0.3016	0.3781	0.4583	0.5829	0.445	0.0893	0.2456	0.5608	0.1778	0.4811	0.16	0.4467	0.088	0.309
D-psicose	0.0033	0.0128	0.0039	-0.013	-0.0078	-0.0101	-0.0024	-0.0262	0.0181	-0.0194	-0.0316	-0.0064	0.0833	-0.0032	-0.0055	-0.0152	0.178	0.0128	0.0156
D-galactose	-0.0049	0.0469	-0.0479	-0.0193	-0.0118	-0.0029	-0.0166	-0.0021	0.0113	-0.0479	-0.0108	-0.0042	0.0115	0.0169	0.0163	-0.0264	0.1575	-0.0031	0.004
D-gluconic acid	-0.003	-0.0091	-0.0357	-0.0188	-0.0511	-0.0019	0.0003	-0.0058	-0.0585	-0.0117	0.0005	0.0026	0.0109	-0.0093	0.0136	-0.0525	0.1711	0.0133	0.0098
L-rhamnose	-0.0046	0.0175	-0.0571	-0.0368	-0.0479	-0.0119	0.0272	-1.00E-04	-0.0497	-0.014	-0.0058	0.0031	0.0303	-0.0013	0.0217	-0.0512	0.168	0.0139	0.0005
a-keto-glutaric acid	0.0721	0.264	0.11	0.1738	0.0425	0.2369	0.1904	0.232	0.181	0.252	0.0826	0.2214	0.3454	0.1896	0.2552	0.1558	0.3325	0.223	0.0632
a-hydroxy-glutaric acid y lactone	-0.0137	0.0119	-0.0226	-0.0223	-0.0296	-0.0097	0.0133	0.0018	-0.0337	-0.0327	-0.0012	0.0009	0.0529	-0.0187	0.0309	-0.0432	0.182	0.0185	0.0032
bromo succinic acid	0.0158	0.1736	0.1598	0.0294	0.0108	0.0028	0.1939	-0.026	0.0681	0.1239	0.0225	0.099	0.1543	0.049	0.0855	0.0875	0.2288	0.1413	-0.0169
L-alanyl-glycine	0.0047	0.4077	0.0929	-0.0042	0.1121	0.0018	0.3635	0.3873	0.3722	0.3983	-0.0055	0.2175	0.0944	0.2465	0.2658	0.1809	0.3406	0.1297	0.165
L-lyxose	-0.0011	-0.0132	-0.034	-0.0512	-0.0143	-0.0336	-0.0434	-0.0608	-0.0097	-0.0389	-0.0018	-0.0162	0.0413	-0.0139	0.0107	-0.0033	0.1748	0.0033	0.0002
L-aspartic acid	0.024	0.431	0.1793	0.2548	0.3098	0.0358	0.0102	0.3805	0.2661	0.2458	0.0819	0.1871	0.2087	0.191	0.1293	0.1876	0.3318	0.1623	0.0423
"D,L-a-glycerol-phosphate"	-0.0093	-0.0027	-0.0254	-0.0184	-0.059	-0.0037	0.0027	-0.0145	-0.0377	-0.0182	-0.0044	0.0109	0.0261	-0.0168	0.0129	-0.0266	0.1671	0.0123	0.0135
D-fructose	-0.0067	0.0101	-0.0363	-0.033	-0.0579	0.0012	0.0078	-0.0135	-0.058	-0.0044	-0.0121	0.0085	0.0355	0.0067	0.0234	-0.0174	0.1698	0.0125	0.0087
